,Name,Sex upon Outcome,Adopt,Age_days,Sex,cfa_breed,coat_pattern,pattern,Cat_Kitten_Neonatal
43067,1,Neutered Male,1,1106,Male,0,tabby,1,Adult
43068,0,Intact Female,0,305,Female,0,no pattern,0,Kitten
43069,1,Spayed Female,1,1624,Female,1,point,1,Adult
43070,1,Spayed Female,1,798,Female,0,tortie,1,Adult
43071,0,Intact Female,0,19,Female,0,tabby,1,Neonatal
43072,1,Neutered Male,1,168,Male,0,tabby,1,Kitten
43073,0,Spayed Female,1,97,Female,0,no pattern,0,Kitten
43074,1,Neutered Male,1,81,Male,0,tabby,1,Kitten
43075,0,Intact Male,0,26,Male,0,no pattern,0,Neonatal
43076,1,Spayed Female,1,163,Female,0,tabby,1,Kitten
43077,1,Neutered Male,1,2852,Male,0,tabby,1,Adult
43078,1,Neutered Male,1,1625,Male,0,tabby,1,Adult
43079,1,Spayed Female,0,127,Female,0,calico,1,Kitten
43080,1,Neutered Male,1,257,Male,0,no pattern,0,Kitten
43081,1,Spayed Female,1,2565,Female,0,calico,1,Adult
43082,0,Intact Female,0,169,Female,0,tortie,1,Kitten
43083,1,Spayed Female,1,4526,Female,0,no pattern,0,Adult
43084,1,Neutered Male,1,77,Male,0,no pattern,0,Kitten
43085,0,Neutered Male,1,94,Male,0,smoke,1,Kitten
43086,0,Intact Male,0,730,Male,0,tabby,1,Adult
43087,0,Intact Female,0,22,Female,0,tortie,1,Neonatal
43088,1,Neutered Male,1,128,Male,0,no pattern,0,Kitten
43089,0,Intact Female,0,69,Female,0,tortie,1,Kitten
